93,88,46,91,9,47,67,15,12,50
47,49,96,43,12,58,90,90,66,96
71,87,77,42,12,50,46,21,21,84
8,41,37,55,100,15,40,1,31,64
22,21,100,13,32,74,93,33,89,30
16,81,57,12,81,87,92,6,8,79
10,83,68,64,70,41,87,56,20,26
26,88,37,83,97,37,63,27,74,29
8,32,35,29,17,2,40,77,32,96
73,45,52,78,72,97,92,45,74,76
61,65,18,26,76,89,91,8,11,56
72,53,54,75,54,14,81,75,30,17
10,66,80,96,30,51,25,87,8,56
3,25,69,32,26,73,24,12,70,67
82,10,81,5,33,83,79,46,34,22
47,21,48,71,5,46,99,58,8,25
94,75,47,20,32,52,31,13,83,20
50,72,96,32,38,26,21,90,40,77
61,19,69,3,98,42,55,72,39,29
36,71,19,2,83,31,45,12,97,95
73,89,86,38,69,36,5,28,52,55
20,55,22,55,80,39,48,5,1,1
66,94,55,92,85,19,41,96,95,8
77,32,17,85,65,82,27,21,12,1
12,39,25,80,98,59,27,73,50,39
71,82,34,52,42,55,12,36,72,58
37,36,22,90,64,86,94,31,66,57
28,66,5,20,52,82,79,85,11,5
46,23,74,3,88,61,65,34,94,13
49,83,86,95,53,18,2,21,34,92
2,93,90,24,44,76,93,44,88,61
84,44,90,27,14,80,21,69,70,33
61,3,94,35,18,56,73,21,46,76
44,11,70,29,26,35,57,72,82,16
45,85,61,51,24,16,38,48,56,90
73,26,87,24,15,58,49,57,42,62
4,89,13,81,6,4,99,67,91,36
48,59,34,53,51,33,42,87,89,59
89,12,89,25,20,38,7,53,47,82
71,45,83,12,95,100,27,43,94,99
86,50,97,33,56,23,86,67,6,1
10,62,63,56,28,25,79,19,18,34
83,70,44,7,90,67,65,44,71,15
61,9,22,16,97,79,81,3,34,28
65,7,11,98,44,38,47,88,25,51
41,3,21,53,43,11,33,66,36,88
46,89,49,11,94,69,59,52,63,46
93,21,59,59,25,46,83,58,70,29
56,80,6,60,30,53,83,75,77,78
33,31,30,26,11,25,69,43,97,67
13,83,50,31,53,94,19,74,74,94
18,68,39,88,83,79,21,84,36,80
60,68,72,90,23,57,52,84,87,21
55,64,66,93,96,31,26,69,73,70
59,64,77,27,78,19,26,97,93,2
72,59,1,11,10,37,9,10,6,1
92,87,58,7,4,31,64,68,68,10
70,65,65,32,89,27,70,11,30,81
52,23,84,94,55,35,42,83,60,93
89,100,58,20,64,23,59,62,33,63
63,24,43,70,80,1,71,83,38,83
59,76,41,22,77,65,14,43,62,94
2,91,12,65,98,10,15,7,1,44
53,72,6,1,48,40,18,65,26,54
65,23,55,94,98,84,70,36,72,34
33,6,72,6,89,90,17,51,17,82
57,72,84,47,63,70,28,93,74,66
77,59,4,36,97,15,77,72,53,11
22,90,1,98,35,57,52,97,39,82
55,8,23,38,45,48,71,23,52,57
42,80,100,93,34,3,98,63,17,73
6,81,27,68,13,10,81,6,53,100
73,50,38,45,6,45,61,45,47,85
51,43,9,65,48,75,96,83,95,60
41,15,79,32,2,32,15,36,62,75
68,76,59,4,9,50,57,11,68,36
