X	Y
8.079218175	3.785562504
5.395937953	8.964148133
9.887856627	2.80924459
5.53609954	7.362047427
5.489094831	8.213147488
6.939967777	3.663921206
4.548804868	7.146325541
3.659723724	8.69732152
8.953503454	2.841156107
5.46322566	8.272188535
6.828151713	3.15677421
6.159457587	7.728387666
9.065590681	3.068511499
7.634915152	3.907839863
6.295372293	8.731648559
9.19774373	3.065773747
9.585512851	2.139734811
4.82217912	8.181272607
7.559568849	4.415355309
4.82106935	4.550074071
4.977694079	5.661492412
5.16696668	5.931590881
8.812412051	2.661867831
3.947329777	8.079470721
5.706497049	8.649976028
6.309906821	1.905627611
5.567997217	8.079463913
6.877748551	1.64524794
5.966555464	8.666845129
9.744125161	2.92113759
8.767085384	4.877269018
4.845276718	7.188685065
6.665055334	7.476927199
4.822923898	9.765945385
8.34793049	2.826369194
7.857718707	2.354372941
6.101111799	7.415035775
5.846819306	7.448319807
4.022776803	6.271851544
8.73745554	3.004797766
6.997265264	2.233839967
3.458901552	8.651077206
8.530644907	4.425246546
4.389188365	9.212258823
3.740113011	7.846964741
7.544180632	2.41548902
8.00406053	1.93021508
4.653411556	7.500304852
3.879168179	8.393881243
5.061519866	6.98912214
7.489346236	8.40449084
3.983775379	7.946156885
5.044524664	7.422243736
8.79143234	1.307374941
7.022484553	2.410394556
7.131405167	2.353318194
9.586081141	2.379862355
7.266202041	2.466730558
9.185675429	1.691764342
8.462729424	2.898350689
5.619936751	6.971913553
7.445280287	2.964214154
4.706539881	5.480255374
8.390195157	3.185125389
9.034325406	2.938111571
8.481180863	3.514088089
5.057949617	9.327670664
6.840996925	3.740031922
7.671747994	1.696510124
9.303455578	2.609577849
8.734646842	2.909269486
6.086188287	2.849421041
7.247810418	3.070090395
8.429285926	3.077224374
4.296769599	6.044500733
4.602848428	8.294282912
6.673496321	3.636497825
8.667343983	3.746858362
4.057278358	8.680784087
4.313083042	5.870624784
3.595189047	8.028771587
3.965599186	5.634629349
4.8290471	7.558554332
4.655689486	8.531904483
5.898349279	6.654279045
5.773717256	9.13391185
3.597499955	9.415770682
6.886446051	4.009678713
4.751336936	7.816176966
7.51162577	3.18834397
9.234265861	4.527790227
7.739696456	2.844193147
6.09177068	7.646337357
7.970002885	2.468227429
8.252954728	4.02467823
8.034511599	2.136401197
5.408755893	9.45541956
3.635453476	6.780091699
